anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_12
2024-03-01,0.23143998,0.3015996,0.22475655,0.24220394
2024-03-04,0.23658523,0.3058722,0.21908252,0.2384601
2024-03-05,0.22866024,0.3121549,0.21768484,0.24150008
2024-03-06,0.24272907,0.31239483,0.21360604,0.23127012
2024-03-07,0.22878003,0.31027618,0.21878208,0.24216174
2024-03-08,0.2389055,0.310572,0.21617396,0.2343485
2024-03-11,0.23825788,0.29794303,0.22257042,0.24122867
2024-03-12,0.23421073,0.30379045,0.2187668,0.24323201
2024-03-13,0.23008583,0.30696252,0.22430673,0.23864493
2024-03-14,0.2349506,0.30708507,0.2178288,0.24013555
2024-03-15,0.23834558,0.3117567,0.21619105,0.23370667
2024-03-18,0.23120013,0.30707166,0.21666022,0.245068
2024-03-19,0.23630816,0.3083001,0.21903087,0.23636083
2024-03-20,0.23275946,0.31268066,0.21203405,0.24252585
2024-03-21,0.23957105,0.31764707,0.21441454,0.22836742
2024-03-22,0.2416218,0.30116975,0.21843292,0.23877555
2024-03-25,0.2264412,0.3045753,0.223931,0.24505247
2024-03-26,0.23761532,0.31118995,0.21722773,0.23396698
2024-03-27,0.23350464,0.29975474,0.22758129,0.23915929
2024-03-28,0.24615997,0.31003812,0.2151929,0.22860909
2024-04-01,0.2337264,0.29520163,0.22724338,0.24382855
2024-04-02,0.23685545,0.30365634,0.22350106,0.23598719
2024-04-03,0.2258299,0.31354296,0.21404271,0.24658448
2024-04-04,0.23730247,0.30858132,0.21615395,0.2379623
2024-04-05,0.24300808,0.3042692,0.21853781,0.23418489
2024-04-08,0.23394597,0.29479384,0.22790785,0.24335232
2024-04-09,0.2355748,0.29966694,0.2258446,0.23891363
2024-04-10,0.23517132,0.30119398,0.22189821,0.24173647
2024-04-11,0.23570246,0.29675326,0.22735417,0.24019013
2024-04-12,0.22898361,0.30526236,0.2232169,0.24253711
2024-04-15,0.23417543,0.31617865,0.21196176,0.23768413
2024-04-16,0.23385112,0.30813625,0.21962325,0.2383894
2024-04-17,0.23889828,0.3060678,0.21764584,0.23738809
2024-04-18,0.23968124,0.3080638,0.22309525,0.22915973
2024-04-19,0.22588408,0.3138948,0.20782791,0.25239325
2024-04-22,0.23588626,0.31280828,0.21944515,0.23186027
2024-04-23,0.22930028,0.3078434,0.21606214,0.24679415
2024-04-24,0.23780303,0.29891583,0.22381996,0.23946124
2024-04-25,0.23361465,0.30047238,0.22364327,0.24226974
2024-04-26,0.2316973,0.30520955,0.22265786,0.24043533
