anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_10,gate_patch_12
2024-03-01,0.15921044,0.18736123,0.23401035,0.13897383,0.2804442
2024-03-04,0.097664475,0.21423748,0.27176693,0.21830377,0.19802731
2024-03-05,0.0861481,0.20683414,0.24680321,0.2611271,0.19908744
2024-03-06,0.11669324,0.17849913,0.2262483,0.2788795,0.19967988
2024-03-07,0.10381371,0.121982045,0.27907243,0.27650535,0.21862645
2024-03-08,0.09993373,0.17910121,0.24015908,0.25249356,0.22831234
2024-03-11,0.12282757,0.17659995,0.23536502,0.25004476,0.21516272
2024-03-12,0.15199122,0.14736266,0.23319362,0.23720965,0.23024283
2024-03-13,0.113026135,0.17601332,0.23061858,0.24092557,0.23941644
2024-03-14,0.19510426,0.14131992,0.19566962,0.19206513,0.2758411
2024-03-15,0.17326368,0.2368921,0.1535882,0.20270827,0.2335477
2024-03-18,0.24033119,0.18708777,0.13800493,0.12327084,0.31130525
2024-03-19,0.27187812,0.21679437,0.13762408,0.1319038,0.24179965
2024-03-20,0.26547092,0.19741176,0.13176326,0.09286389,0.3124902
2024-03-21,0.24382786,0.23295103,0.14863291,0.09061436,0.28397378
2024-03-22,0.22645096,0.19543496,0.19581328,0.10615255,0.27614823
2024-03-25,0.16433755,0.26128796,0.19838834,0.11478532,0.26120082
2024-03-26,0.1523045,0.22082792,0.23996143,0.15771218,0.22919394
2024-03-27,0.116863795,0.18850765,0.2765983,0.20161968,0.21641058
2024-03-28,0.08062805,0.18492809,0.28170034,0.25760037,0.1951431
2024-04-01,0.10655419,0.1228756,0.28456846,0.26850173,0.21750006
2024-04-02,0.08537137,0.16016807,0.27289686,0.26833388,0.21322979
2024-04-03,0.08041022,0.17002428,0.25851396,0.3009625,0.19008894
2024-04-04,0.104548216,0.1606343,0.22784144,0.3119365,0.19503957
2024-04-05,0.111120746,0.14915177,0.2347122,0.31298673,0.19202848
2024-04-08,0.135239,0.11886448,0.22749011,0.244651,0.27375537
2024-04-09,0.11124908,0.17371538,0.24514756,0.25823304,0.21165504
2024-04-10,0.11209022,0.17418668,0.24429803,0.23554334,0.23388168
2024-04-11,0.11846711,0.18702371,0.21902354,0.27112946,0.20435616
2024-04-12,0.089706495,0.12970059,0.27302507,0.33269328,0.17487456
2024-04-15,0.09759332,0.17304644,0.24304186,0.2687621,0.21755625
2024-04-16,0.11939382,0.17124377,0.18962361,0.2906935,0.22904536
2024-04-17,0.1671901,0.1400499,0.20492655,0.23846973,0.24936374
2024-04-18,0.19560431,0.21336292,0.14586005,0.19269866,0.252474
2024-04-19,0.28672513,0.1697384,0.11814669,0.12949997,0.29588988
2024-04-22,0.21478263,0.20248482,0.18897578,0.11214804,0.2816088
2024-04-23,0.18383387,0.2503018,0.17963631,0.11273976,0.27348825
2024-04-24,0.21387368,0.24666259,0.17011437,0.13479011,0.23455924
2024-04-25,0.15159625,0.19850917,0.2529249,0.15520762,0.24176203
2024-04-26,0.1110688,0.20743436,0.259464,0.17605902,0.24597384
2024-04-29,0.08100535,0.2181338,0.26042718,0.24663322,0.19380043
2024-04-30,0.18919194,0.16634355,0.18056788,0.21604247,0.24785416
2024-05-01,0.19501436,0.1515665,0.1656351,0.13348493,0.3542991
2024-05-02,0.13470781,0.20100975,0.26461494,0.1469813,0.25268614
2024-05-03,0.11181131,0.27571955,0.21918544,0.20938465,0.18389907
2024-05-06,0.18661292,0.16256142,0.2156019,0.20782419,0.22739962
2024-05-07,0.12351798,0.12093089,0.28756496,0.22435816,0.24362795
2024-05-08,0.08160728,0.15959245,0.28118497,0.24651341,0.23110186
2024-05-09,0.08155414,0.19504881,0.24399935,0.2858155,0.19358218
2024-05-10,0.10330207,0.1722196,0.22549401,0.31671795,0.18226635
2024-05-13,0.11152376,0.15366344,0.22955988,0.30140838,0.20384459
2024-05-14,0.13261344,0.1481431,0.20943812,0.24688263,0.2629227
2024-05-15,0.15003102,0.18832652,0.19808131,0.22442816,0.23913302
2024-05-16,0.17231342,0.19660267,0.17253824,0.18459697,0.2739487
2024-05-17,0.25416586,0.1843124,0.11550779,0.1769544,0.2690596
2024-05-20,0.14951566,0.17150386,0.21542688,0.2004286,0.263125
2024-05-21,0.09166644,0.24657747,0.2601135,0.18490614,0.21673636
2024-05-22,0.117890276,0.19552395,0.24309394,0.23678769,0.20670407
2024-05-23,0.11830075,0.14462192,0.28209352,0.2342589,0.22072493
2024-05-24,0.097091965,0.14984831,0.27912253,0.23734751,0.2365897
2024-05-28,0.0767714,0.15851083,0.29499307,0.2775637,0.19216102
2024-05-29,0.084741265,0.14290616,0.28432924,0.29688445,0.19113885
2024-05-30,0.091215014,0.16177845,0.24139929,0.3155984,0.19000886
2024-05-31,0.10051767,0.13713585,0.24761367,0.30830273,0.2064301
2024-06-03,0.11925509,0.14860536,0.22753349,0.28061467,0.22399138
2024-06-04,0.12947784,0.16845202,0.19862542,0.25844628,0.24499843
2024-06-05,0.17530642,0.14563602,0.20395039,0.22959545,0.24551171
2024-06-06,0.15228997,0.17077358,0.18421613,0.23143898,0.2612813
2024-06-07,0.20765546,0.19897081,0.15932937,0.15430248,0.2797419
2024-06-10,0.20741487,0.22382386,0.14667413,0.18501247,0.23707466
2024-06-11,0.17881882,0.20570979,0.2570597,0.115175895,0.24323581
2024-06-12,0.18654135,0.16104317,0.22679035,0.17684253,0.2487827
2024-06-13,0.117777616,0.15031579,0.28292432,0.20627885,0.24270345
2024-06-14,0.08477651,0.16902278,0.29426533,0.22202188,0.22991347
2024-06-17,0.07770942,0.21281727,0.22217324,0.3160692,0.17123081
2024-06-18,0.13664486,0.19824871,0.17851892,0.28974175,0.19684575
2024-06-20,0.22720242,0.1677124,0.13580434,0.2109509,0.25832996
2024-06-21,0.25624505,0.15736942,0.14135341,0.1417658,0.30326632
2024-06-24,0.26385626,0.18810184,0.12784716,0.09111129,0.32908344
2024-06-25,0.24405721,0.24564585,0.13942808,0.09256925,0.2782997
2024-06-26,0.23625353,0.23171729,0.17088649,0.10137036,0.25977227
2024-06-27,0.18187487,0.27415708,0.18431489,0.1188847,0.24076843
2024-06-28,0.20183374,0.20917287,0.20079735,0.122101255,0.26609477
2024-07-01,0.19022161,0.21809725,0.21277949,0.13861029,0.24029142
2024-07-02,0.19736585,0.24415562,0.15042281,0.11222327,0.29583248
2024-07-03,0.26989478,0.21657665,0.14434269,0.118944734,0.25024116
2024-07-05,0.24983197,0.19075175,0.15110001,0.11188998,0.29642627
2024-07-08,0.27250436,0.20554152,0.1439811,0.10532033,0.27265272
2024-07-09,0.20763777,0.18678053,0.1803565,0.10500183,0.32022336
2024-07-10,0.21831895,0.20940213,0.19070409,0.10451515,0.27705967
2024-07-11,0.17017387,0.23396751,0.17418844,0.14951958,0.27215058
2024-07-12,0.18763292,0.20931315,0.2309376,0.1547716,0.2173447
2024-07-15,0.111568205,0.17013198,0.22520518,0.2193776,0.27371708
2024-07-16,0.1037422,0.17165305,0.2600372,0.24216685,0.22240075
2024-07-17,0.14535563,0.23981555,0.18021552,0.22398289,0.21063036
2024-07-18,0.28849617,0.18550645,0.12661123,0.13791847,0.26146758
2024-07-19,0.2524339,0.17970917,0.15076011,0.11339442,0.30370238
2024-07-22,0.2196663,0.19337872,0.17726254,0.10166882,0.30802372
2024-07-23,0.22795817,0.23756371,0.15487057,0.10467009,0.27493745
2024-07-24,0.19849008,0.20916826,0.18488984,0.11823309,0.2892187
2024-07-25,0.15281032,0.20061582,0.25906008,0.15947354,0.22804031
2024-07-26,0.08187969,0.23422971,0.22983776,0.21605057,0.2380023
2024-07-29,0.12410254,0.17329593,0.27810675,0.24121477,0.18328005
