freq,mode,patch_sizes,horizon,epochs_ran,elapsed_sec,train_samples,val_samples,test_samples,train_mse,train_mae,train_corr,train_rank_corr,train_direction_acc,train_pred_std,train_true_std,val_mse,val_mae,val_corr,val_rank_corr,val_direction_acc,val_pred_std,val_true_std,test_mse,test_mae,test_corr,test_rank_corr,test_direction_acc,test_pred_std,test_true_std,y_train_mean,y_train_std,test_mean_gate_patch_0,test_mean_gate_patch_1,test_mean_gate_patch_2,test_mean_gate_patch_3,test_mean_gate_patch_4,test_mean_gate_patch_5
daily,fixed_multiscale,"[5, 10, 20, 30]",10d,60,2734.7118591250037,2553,547,548,115.21601104736328,8.230857849121094,0.0760699443688918,0.0508875779841917,0.5088131609870741,10.638426780700684,0.1072988510131836,402.2724304199219,15.382888793945312,0.1127178005318197,0.0429668152618858,0.4881170018281535,19.505830764770508,0.1028362661600112,171.8482208251953,10.83224105834961,-0.0622931858476463,-0.063001807280519,0.4525547445255474,12.259599685668944,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.25,0.25,0.25,0.25,,
daily,fixed_multiscale,"[5, 10, 20, 30]",20d,38,1711.6745012080064,2553,547,548,5.920875072479248,1.884666919708252,0.0435440691299157,0.0346254454318109,0.5307481394437916,2.3194761276245117,0.153127834200859,21.010164260864254,3.5673763751983643,0.0143500797048513,-0.01757517488401,0.4972577696526508,4.5733642578125,0.141805037856102,37.60243225097656,5.209030628204346,-0.0709433566851335,-0.1139603786292771,0.4835766423357664,5.15028715133667,0.1454658061265945,0.00487852236256,0.153127834200859,0.25,0.25,0.25,0.25,,
daily,fixed_multiscale,"[5, 10, 20, 30]",5d,33,1518.4286071670358,2553,547,548,0.0212929341942071,0.1141937151551246,0.0139034407772762,-0.0101473479005713,0.5064629847238543,0.1223470717668533,0.0759601891040802,0.0407270044088363,0.1619782000780105,-0.0411915043174844,-0.0690695417404318,0.4643510054844607,0.181179791688919,0.0752401202917099,0.0752157866954803,0.2168540954589843,-0.0205465846920248,-0.075222531397327,0.4908759124087591,0.2484324276447296,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.25,0.25,0.25,0.25,,
daily,static_weight,"[5, 10, 20, 30]",10d,22,1022.8013148749596,2553,547,548,0.0161015763878822,0.097008004784584,0.0011532367327465,0.0032256605382613,0.4982373678025852,0.0567597225308418,0.1072988510131836,0.020546743646264,0.1116989701986312,0.1284772559161042,0.0858337833828342,0.5319926873857403,0.0663013979792594,0.1028362661600112,0.0181952845305204,0.1049820259213447,0.0453053140328347,0.0237901771316847,0.4854014598540146,0.0436630360782146,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.2500098645687103,0.2500004768371582,0.2500497698783874,0.24993996322155,,
daily,static_weight,"[5, 10, 20, 30]",20d,24,1101.1032118749572,2553,547,548,6.820375919342041,1.946698784828186,0.0915080190873557,0.0914650677301446,0.5307481394437916,2.5256810188293457,0.153127834200859,33.89132308959961,4.097496509552002,0.2185226691828978,0.1811057708496193,0.5210237659963437,5.052785873413086,0.141805037856102,8.364320755004883,2.072906732559204,0.0129544259462197,0.0723545237346089,0.5437956204379562,2.5998311042785645,0.1454658061265945,0.00487852236256,0.153127834200859,0.2499742656946182,0.2499973773956298,0.2500685751438141,0.2499597370624542,,
daily,static_weight,"[5, 10, 20, 30]",5d,21,971.2102825409966,2553,547,548,0.604668140411377,0.5999342203140259,0.0037171275801291,0.0100355958224978,0.5111633372502937,0.7722998261451721,0.0759601891040802,0.7202418446540833,0.6743586659431458,0.1053899609618718,0.075033781599674,0.4881170018281535,0.8532777428627014,0.0752401202917099,0.5203418731689453,0.6088097095489502,-0.0459015537385828,-0.0684324915205165,0.4981751824817518,0.5718702077865601,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.2500662803649902,0.2501326501369476,0.2500120997428894,0.2497888803482055,,
halfday,fixed_multiscale,"[2, 4, 8, 10, 12]",10d,30,342.47816195798805,2553,547,548,351.28515625,13.38254737854004,0.0007250834324954,-0.0669340324292308,0.4806110458284371,18.221006393432617,0.1072988510131836,243.7955322265625,9.513574600219728,0.0443666711177717,0.0955941619255852,0.5301645338208409,15.588774681091309,0.1028362661600112,244.46478271484375,10.496232986450195,0.0952083391517217,0.0235054205381291,0.47992700729927,15.59308910369873,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.2000000178813934,0.2000000178813934,0.2000000178813934,0.2000000178813934,0.2000000178813934,
halfday,fixed_multiscale,"[2, 4, 8, 10, 12]",20d,60,666.829938083014,2553,547,548,1.4660876989364624,0.7465417385101318,0.0364364309855404,0.1299728454939452,0.5503329416372895,1.199966549873352,0.153127834200859,2.0479483604431152,0.7291180491447449,-0.0001620873091581,0.0771287852563589,0.5100548446069469,1.3317564725875854,0.141805037856102,1.3517661094665527,0.8893688917160034,-0.0441299128197399,-0.0042228889374449,0.4562043795620438,0.9731224179267884,0.1454658061265945,0.00487852236256,0.153127834200859,0.2000000178813934,0.2000000178813934,0.2000000178813934,0.2000000178813934,0.2000000178813934,
halfday,fixed_multiscale,"[2, 4, 8, 10, 12]",5d,37,418.2509752080078,2553,547,548,0.0098721832036972,0.0729561150074005,-0.0166471825489811,0.007619422218254,0.5088131609870741,0.0607213154435157,0.0759601891040802,0.0099110985174775,0.0769997984170913,-0.1143955375784555,-0.1483022366878895,0.4625228519195612,0.0567456297576427,0.0752401202917099,0.0122297788038849,0.0809050574898719,-0.0542239763390025,0.0075806408126129,0.4963503649635036,0.074367769062519,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.2000000178813934,0.2000000178813934,0.2000000178813934,0.2000000178813934,0.2000000178813934,
halfday,static_weight,"[2, 4, 8, 10, 12]",10d,20,228.24278779199813,2553,547,548,184.79714965820312,9.481613159179688,0.0337615458393187,0.0845726832973747,0.5213474343909127,11.821958541870115,0.1072988510131836,95.59178924560548,5.546987533569336,0.0277982234229809,0.0094410858619819,0.4990859232175503,9.308199882507324,0.1028362661600112,119.24490356445312,7.883935928344727,-0.0175791243694337,0.0064439661643194,0.47992700729927,10.00076675415039,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.1999592185020446,0.2002210915088653,0.2001455873250961,0.1997296810150146,0.1999444961547851,
