anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_12,gate_patch_13,gate_patch_14
2024-03-01,0.46469784,0.07047728,0.17369992,0.03367087,0.070919216,0.18653485
2024-03-04,0.48006606,0.0699061,0.16589366,0.03355297,0.07405024,0.17653099
2024-03-05,0.48006606,0.0699061,0.16589366,0.03355297,0.07405024,0.17653099
2024-03-06,0.48006606,0.0699061,0.16589366,0.03355297,0.07405024,0.17653099
2024-03-07,0.48006606,0.0699061,0.16589366,0.03355297,0.07405024,0.17653099
2024-03-08,0.48006606,0.0699061,0.16589366,0.03355297,0.07405024,0.17653099
2024-03-11,0.49941143,0.07117797,0.1558767,0.035648007,0.07499696,0.16288893
2024-03-12,0.49941143,0.07117797,0.1558767,0.035648007,0.07499696,0.16288893
2024-03-13,0.49941143,0.07117797,0.1558767,0.035648007,0.07499696,0.16288893
2024-03-14,0.49941143,0.07117797,0.1558767,0.035648007,0.07499696,0.16288893
2024-03-15,0.49941143,0.07117797,0.1558767,0.035648007,0.07499696,0.16288893
2024-03-18,0.51864743,0.07251477,0.1492701,0.03411023,0.070899494,0.15455799
2024-03-19,0.51864743,0.07251477,0.1492701,0.03411023,0.070899494,0.15455799
2024-03-20,0.51864743,0.07251477,0.1492701,0.03411023,0.070899494,0.15455799
2024-03-21,0.51864743,0.07251477,0.1492701,0.03411023,0.070899494,0.15455799
2024-03-22,0.51864743,0.07251477,0.1492701,0.03411023,0.070899494,0.15455799
2024-03-25,0.51246923,0.07750748,0.14581276,0.039885566,0.06940949,0.15491544
2024-03-26,0.51246923,0.07750748,0.14581276,0.039885566,0.06940949,0.15491544
2024-03-27,0.51246923,0.07750748,0.14581276,0.039885566,0.06940949,0.15491544
2024-03-28,0.51246923,0.07750748,0.14581276,0.039885566,0.06940949,0.15491544
2024-04-01,0.5329938,0.0747871,0.13698988,0.03935997,0.06907993,0.14678927
2024-04-02,0.5329938,0.0747871,0.13698988,0.03935997,0.06907993,0.14678927
2024-04-03,0.5329938,0.0747871,0.13698988,0.03935997,0.06907993,0.14678927
2024-04-04,0.5329938,0.0747871,0.13698988,0.03935997,0.06907993,0.14678927
2024-04-05,0.5329938,0.0747871,0.13698988,0.03935997,0.06907993,0.14678927
2024-04-08,0.54951096,0.07540211,0.12511097,0.039467465,0.06755561,0.14295292
2024-04-09,0.54951096,0.07540211,0.12511097,0.039467465,0.06755561,0.14295292
2024-04-10,0.54951096,0.07540211,0.12511097,0.039467465,0.06755561,0.14295292
2024-04-11,0.54951096,0.07540211,0.12511097,0.039467465,0.06755561,0.14295292
2024-04-12,0.54951096,0.07540211,0.12511097,0.039467465,0.06755561,0.14295292
2024-04-15,0.55124635,0.07739034,0.12356756,0.040540863,0.059880033,0.14737487
2024-04-16,0.55124635,0.07739034,0.12356756,0.040540863,0.059880033,0.14737487
2024-04-17,0.55124635,0.07739034,0.12356756,0.040540863,0.059880033,0.14737487
2024-04-18,0.55124635,0.07739034,0.12356756,0.040540863,0.059880033,0.14737487
2024-04-19,0.55124635,0.07739034,0.12356756,0.040540863,0.059880033,0.14737487
2024-04-22,0.5429025,0.07480609,0.12862882,0.04180765,0.056973148,0.15488182
2024-04-23,0.5429025,0.07480609,0.12862882,0.04180765,0.056973148,0.15488182
2024-04-24,0.5429025,0.07480609,0.12862882,0.04180765,0.056973148,0.15488182
2024-04-25,0.5429025,0.07480609,0.12862882,0.04180765,0.056973148,0.15488182
2024-04-26,0.5429025,0.07480609,0.12862882,0.04180765,0.056973148,0.15488182
2024-04-29,0.5449655,0.069622554,0.1380083,0.039159946,0.05729246,0.1509512
2024-04-30,0.5449655,0.069622554,0.1380083,0.039159946,0.05729246,0.1509512
2024-05-01,0.5449655,0.069622554,0.1380083,0.039159946,0.05729246,0.1509512
2024-05-02,0.5449655,0.069622554,0.1380083,0.039159946,0.05729246,0.1509512
2024-05-03,0.5449655,0.069622554,0.1380083,0.039159946,0.05729246,0.1509512
2024-05-06,0.5323736,0.07285435,0.14146604,0.038861867,0.05788008,0.15656409
2024-05-07,0.5323736,0.07285435,0.14146604,0.038861867,0.05788008,0.15656409
2024-05-08,0.5323736,0.07285435,0.14146604,0.038861867,0.05788008,0.15656409
2024-05-09,0.5323736,0.07285435,0.14146604,0.038861867,0.05788008,0.15656409
2024-05-10,0.5323736,0.07285435,0.14146604,0.038861867,0.05788008,0.15656409
2024-05-13,0.5391554,0.073508255,0.14013594,0.036074117,0.059006397,0.1521199
2024-05-14,0.5391554,0.073508255,0.14013594,0.036074117,0.059006397,0.1521199
2024-05-15,0.5391554,0.073508255,0.14013594,0.036074117,0.059006397,0.1521199
2024-05-16,0.5391554,0.073508255,0.14013594,0.036074117,0.059006397,0.1521199
2024-05-17,0.5391554,0.073508255,0.14013594,0.036074117,0.059006397,0.1521199
2024-05-20,0.543519,0.070744134,0.13784614,0.03475596,0.06213977,0.15099502
2024-05-21,0.543519,0.070744134,0.13784614,0.03475596,0.06213977,0.15099502
2024-05-22,0.543519,0.070744134,0.13784614,0.03475596,0.06213977,0.15099502
2024-05-23,0.543519,0.070744134,0.13784614,0.03475596,0.06213977,0.15099502
2024-05-24,0.543519,0.070744134,0.13784614,0.03475596,0.06213977,0.15099502
2024-05-28,0.56042755,0.0689772,0.13103764,0.033653803,0.06267596,0.14322786
2024-05-29,0.56042755,0.0689772,0.13103764,0.033653803,0.06267596,0.14322786
2024-05-30,0.56042755,0.0689772,0.13103764,0.033653803,0.06267596,0.14322786
2024-05-31,0.56042755,0.0689772,0.13103764,0.033653803,0.06267596,0.14322786
2024-06-03,0.56561667,0.07107075,0.12772898,0.033754613,0.06027444,0.14155445
2024-06-04,0.56561667,0.07107075,0.12772898,0.033754613,0.06027444,0.14155445
2024-06-05,0.56561667,0.07107075,0.12772898,0.033754613,0.06027444,0.14155445
2024-06-06,0.56561667,0.07107075,0.12772898,0.033754613,0.06027444,0.14155445
