anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_10,gate_patch_12
2024-03-01,0.16901575,0.21327384,0.21227172,0.17828237,0.22715628
2024-03-04,0.16883545,0.23142168,0.21341795,0.1969448,0.18938018
2024-03-05,0.12963067,0.20051576,0.27537933,0.19793558,0.1965387
2024-03-06,0.12437189,0.20925379,0.2728477,0.22483614,0.1686905
2024-03-07,0.119419366,0.19075723,0.28436926,0.24827325,0.15718083
2024-03-08,0.11128689,0.17163822,0.29280913,0.2503054,0.1739603
2024-03-11,0.12262439,0.19670919,0.24913064,0.26684165,0.16469413
2024-03-12,0.1265979,0.1943613,0.2514932,0.23797917,0.18956836
2024-03-13,0.102324516,0.16729766,0.2904482,0.26018345,0.17974621
2024-03-14,0.115292825,0.2396952,0.25413445,0.19822468,0.19265287
2024-03-15,0.0985022,0.13884045,0.29654172,0.27788645,0.18822917
2024-03-18,0.10734179,0.18869583,0.29254237,0.2057028,0.20571718
2024-03-19,0.13793266,0.18129894,0.21878156,0.26928067,0.19270614
2024-03-20,0.14011475,0.17043494,0.23553964,0.22988904,0.22402163
2024-03-21,0.15676336,0.19328342,0.20905738,0.23039742,0.21049836
2024-03-22,0.17951621,0.2094274,0.19866733,0.20622079,0.20616828
2024-03-25,0.15835352,0.1871448,0.23463425,0.20148568,0.21838178
2024-03-26,0.16133797,0.23709331,0.22218652,0.18523514,0.19414711
2024-03-27,0.15284602,0.21154483,0.26087886,0.18713425,0.18759608
2024-03-28,0.1276784,0.19271518,0.28396624,0.23749764,0.1581425
2024-04-01,0.1464972,0.20600629,0.22458284,0.25459227,0.16832134
2024-04-02,0.12991111,0.18763927,0.2668736,0.23239633,0.18317966
2024-04-03,0.124637574,0.20779085,0.26662785,0.23100589,0.16993782
2024-04-04,0.11090028,0.2017897,0.28705588,0.21401021,0.18624388
2024-04-05,0.1096921,0.18639123,0.273582,0.2739275,0.15640716
2024-04-08,0.115537144,0.17826949,0.26407808,0.2656327,0.17648256
2024-04-09,0.13276456,0.18714643,0.2387259,0.2828582,0.15850493
2024-04-10,0.13023794,0.18526703,0.2521729,0.24059229,0.1917299
2024-04-11,0.12530555,0.19886513,0.23947987,0.23750867,0.19884077
2024-04-12,0.12629968,0.2097227,0.2622429,0.23022093,0.17151387
2024-04-15,0.11445008,0.19705974,0.28589663,0.22991161,0.17268188
2024-04-16,0.10517569,0.18261331,0.29601282,0.24184477,0.1743534
2024-04-17,0.10424272,0.1853763,0.28167522,0.24394456,0.18476123
2024-04-18,0.108499594,0.17595984,0.26473245,0.2769642,0.17384388
2024-04-19,0.121450245,0.16040443,0.21348119,0.27434173,0.23032244
2024-04-22,0.15792118,0.18454525,0.2160743,0.23248635,0.20897293
2024-04-23,0.16477108,0.20377727,0.2175423,0.20366807,0.21024127
2024-04-24,0.16419534,0.20766467,0.18511972,0.22741506,0.21560521
2024-04-25,0.14527272,0.19328287,0.24098049,0.20752537,0.2129386
2024-04-26,0.13559233,0.22473556,0.29742885,0.16738752,0.17485575
2024-04-29,0.14010693,0.20347767,0.28983152,0.23301834,0.13356549
2024-04-30,0.11823507,0.1683192,0.22543745,0.28423846,0.20376983
2024-05-01,0.12826237,0.18956454,0.21780589,0.25898495,0.20538232
2024-05-02,0.15293236,0.22335552,0.25717685,0.19850776,0.1680275
2024-05-03,0.1085965,0.16243708,0.3358677,0.21020535,0.18289341
2024-05-06,0.14158536,0.1986954,0.19237731,0.2810178,0.18632402
2024-05-07,0.15850207,0.19383426,0.2126937,0.24615732,0.18881266
2024-05-08,0.14410038,0.20669809,0.24811526,0.22469808,0.17638811
2024-05-09,0.12566537,0.20995016,0.26473162,0.21532828,0.18432462
2024-05-10,0.10742982,0.2005538,0.2903082,0.22168575,0.18002239
2024-05-13,0.10582406,0.17583841,0.2956432,0.25590703,0.16678718
2024-05-14,0.11066528,0.17708649,0.2941592,0.24937285,0.16871616
2024-05-15,0.11832035,0.18035361,0.26112023,0.26138636,0.17881946
2024-05-16,0.119770214,0.17160843,0.23556472,0.24765477,0.22540186
2024-05-17,0.12743567,0.1685955,0.18135244,0.28180695,0.24080943
2024-05-20,0.16129367,0.19510664,0.21568319,0.2247444,0.20317203
2024-05-21,0.15355131,0.19785316,0.2574699,0.21637508,0.17475058
2024-05-22,0.14928165,0.20738657,0.23894767,0.22881177,0.17557229
2024-05-23,0.14873065,0.18950628,0.21909235,0.27305004,0.1696207
2024-05-24,0.13835,0.18356009,0.24469525,0.2513378,0.18205686
2024-05-28,0.14059167,0.2000073,0.25337818,0.23326793,0.17275497
2024-05-29,0.13025045,0.20312731,0.26239666,0.22876616,0.1754594
2024-05-30,0.11593777,0.19182745,0.28056043,0.23420377,0.17747055
2024-05-31,0.113122605,0.20069729,0.27836812,0.2430246,0.16478735
2024-06-03,0.111342095,0.19368978,0.28223196,0.24386537,0.16887078
2024-06-04,0.10545186,0.16850917,0.28538278,0.26681533,0.17384085
2024-06-05,0.113980874,0.18817443,0.25221846,0.2610524,0.18457383
2024-06-06,0.12427814,0.18110314,0.23525986,0.27108884,0.18827003
2024-06-07,0.11740285,0.17985891,0.22943003,0.26010486,0.21320339
2024-06-10,0.13076578,0.18468899,0.21586023,0.23181252,0.23687238
2024-06-11,0.1389724,0.21202762,0.24792477,0.23055111,0.17052415
2024-06-12,0.16476406,0.19775411,0.21118845,0.25846824,0.16782524
2024-06-13,0.15201159,0.17391782,0.22020526,0.26814237,0.18572302
2024-06-14,0.13834162,0.2078619,0.25088376,0.20370953,0.19920313
2024-06-17,0.1188273,0.21613608,0.29742005,0.18190415,0.18571246
2024-06-18,0.09304179,0.19650224,0.32174522,0.20151739,0.1871934
2024-06-20,0.10052947,0.18929619,0.28215382,0.24206845,0.18595204
2024-06-21,0.118146226,0.15894972,0.24929288,0.292726,0.18088518
2024-06-24,0.14035939,0.16803612,0.23292077,0.2512558,0.207428
2024-06-25,0.1560217,0.177958,0.20882863,0.23070124,0.22649044
2024-06-26,0.16299847,0.20697841,0.2001952,0.19390064,0.23592725
2024-06-27,0.14918043,0.20100369,0.2382343,0.19867052,0.212911
2024-06-28,0.14880581,0.22175199,0.24635574,0.19254938,0.19053715
2024-07-01,0.1337404,0.18604034,0.2723605,0.2165125,0.1913463
2024-07-02,0.122547254,0.18525603,0.28236037,0.20837128,0.20146514
2024-07-03,0.14083669,0.19393316,0.23044424,0.2346478,0.20013818
2024-07-05,0.13551864,0.17420372,0.24514747,0.22589749,0.21923268
2024-07-08,0.15174003,0.18690653,0.21853334,0.23110667,0.21171352
2024-07-09,0.1630402,0.18937574,0.22067735,0.20329115,0.22361553
2024-07-10,0.17128032,0.22088246,0.20993294,0.1916398,0.20626445
2024-07-11,0.14934708,0.19211382,0.24344692,0.19354597,0.22154616
2024-07-12,0.15086094,0.21941777,0.23319936,0.19766097,0.19886096
2024-07-15,0.13861564,0.18122475,0.3015711,0.20208101,0.17650749
2024-07-16,0.10710265,0.20498568,0.3189466,0.19816984,0.17079528
2024-07-17,0.11298971,0.20091677,0.29319954,0.2322935,0.1606005
2024-07-18,0.11142572,0.16216409,0.24830255,0.26347998,0.2146276
2024-07-19,0.13028343,0.1767702,0.2550918,0.24617937,0.19167526
2024-07-22,0.15898639,0.18320921,0.22790292,0.23464528,0.19525622
2024-07-23,0.16084218,0.17498298,0.20862979,0.22304943,0.23249568
2024-07-24,0.15760936,0.18967716,0.20416822,0.2108208,0.23772447
2024-07-25,0.16668367,0.24405825,0.21796706,0.17935808,0.19193296
2024-07-26,0.11664369,0.16938303,0.34567958,0.18810962,0.180184
2024-07-29,0.12439059,0.2417499,0.24220787,0.24248333,0.14916824
2024-07-30,0.11151864,0.16368702,0.30416995,0.2459905,0.17463388
2024-07-31,0.10923479,0.17748132,0.30406165,0.24363351,0.16558875
2024-08-01,0.11989853,0.19735286,0.2556879,0.22973575,0.19732498
2024-08-02,0.12981309,0.18073843,0.211808,0.25165316,0.2259873
2024-08-05,0.120580435,0.16365804,0.23582782,0.24079007,0.23914357
2024-08-06,0.13765536,0.2126475,0.24531554,0.19318755,0.21119401
2024-08-07,0.1450756,0.18486647,0.24182002,0.2531077,0.17513017
2024-08-08,0.14253202,0.16411157,0.22030449,0.23839752,0.23465438
2024-08-09,0.16200075,0.20385794,0.22266656,0.21372265,0.1977521
2024-08-12,0.17847046,0.23202494,0.2243527,0.20086071,0.16429122
2024-08-13,0.14383358,0.17469575,0.23744272,0.23581658,0.20821136
2024-08-14,0.14805686,0.21257709,0.21354379,0.24632487,0.17949736
2024-08-15,0.15120578,0.19696294,0.2519354,0.21599233,0.1839036
2024-08-16,0.12635334,0.19176996,0.3022827,0.21495974,0.16463426
2024-08-19,0.11701991,0.21426846,0.25938752,0.22025059,0.18907343
2024-08-20,0.11455145,0.19788826,0.26952025,0.24124303,0.17679706
2024-08-21,0.099198334,0.17379533,0.3122776,0.2563481,0.1583806
2024-08-22,0.11475986,0.19097473,0.27455384,0.2404607,0.17925087
2024-08-23,0.113157906,0.1599587,0.24842267,0.28774402,0.19071674
2024-08-26,0.13839042,0.20453979,0.1937658,0.23086947,0.23243451
2024-08-27,0.17832819,0.18132146,0.16459832,0.2941054,0.18164665
2024-08-28,0.1517076,0.19939418,0.2511098,0.17287822,0.22491021
2024-08-29,0.14517774,0.22242619,0.24104287,0.22518936,0.16616379
2024-08-30,0.11255319,0.21014011,0.30568227,0.16862705,0.20299736
2024-09-03,0.09761487,0.17813061,0.30843607,0.25374013,0.1620783
2024-09-04,0.103681505,0.1745687,0.3061917,0.24200591,0.1735522
2024-09-05,0.11852431,0.17415297,0.28086758,0.2448687,0.18158643
2024-09-06,0.13134965,0.1746074,0.22510703,0.25908643,0.20984954
2024-09-09,0.1421806,0.173527,0.21582773,0.2232424,0.24522229
2024-09-10,0.1533981,0.20627387,0.2339928,0.20572415,0.20061107
2024-09-11,0.15529211,0.19951689,0.2235833,0.2018572,0.21975057
2024-09-12,0.1675999,0.187761,0.20720087,0.24875501,0.18868318
2024-09-13,0.1660508,0.1885553,0.20521335,0.23680303,0.20337749
2024-09-16,0.16219752,0.20658442,0.23803139,0.20356187,0.1896248
2024-09-17,0.12943265,0.21790679,0.2872004,0.19198965,0.1734705
2024-09-18,0.115852565,0.20670652,0.27373907,0.22915027,0.17455167
2024-09-19,0.10963206,0.17534806,0.28249043,0.26488385,0.1676456
2024-09-20,0.123840876,0.19108878,0.2630451,0.26068816,0.1613371
2024-09-23,0.117098555,0.17576313,0.28433967,0.24271429,0.18008439
2024-09-24,0.11576138,0.193362,0.2551937,0.24596944,0.1897134
2024-09-25,0.11550367,0.17642477,0.2262174,0.2609061,0.220948
2024-09-26,0.11519309,0.18444331,0.26806584,0.25227225,0.18002556
2024-09-27,0.14610542,0.20945702,0.25040957,0.24196711,0.15206085
2024-09-30,0.12867059,0.16614436,0.24352719,0.2587011,0.2029568
2024-10-01,0.11239359,0.19148041,0.24788749,0.22653496,0.2217035
2024-10-02,0.12268668,0.23356883,0.26989037,0.18775915,0.18609497
2024-10-03,0.098258734,0.17122088,0.35426533,0.20903495,0.16722006
2024-10-04,0.10342603,0.16677187,0.26202804,0.27055413,0.19721992
2024-10-07,0.13215844,0.17143762,0.2312003,0.25323108,0.21197248
2024-10-08,0.14550398,0.1793613,0.23849057,0.23043124,0.20621283
2024-10-09,0.1527028,0.19417295,0.20795503,0.21247852,0.23269074
2024-10-10,0.14992283,0.19065519,0.22071095,0.21055348,0.2281576
2024-10-11,0.1430109,0.20543656,0.24286957,0.19661617,0.21206678
2024-10-14,0.15096332,0.21052597,0.2445833,0.20140281,0.19252467
2024-10-15,0.14205225,0.17857316,0.24734204,0.23249422,0.19953829
2024-10-16,0.14206046,0.17838666,0.23596023,0.2225123,0.22108036
2024-10-17,0.16226858,0.20503603,0.21494599,0.21843873,0.19931076
2024-10-18,0.16220827,0.19815245,0.22805183,0.20510566,0.20648177
2024-10-21,0.1471403,0.18710415,0.23767428,0.21883991,0.20924138
2024-10-22,0.15377074,0.22710036,0.22961874,0.18600856,0.2035016
2024-10-23,0.16377556,0.20336467,0.24107859,0.21488097,0.17690024
2024-10-24,0.12376154,0.16814546,0.2836252,0.20152147,0.22294635
2024-10-25,0.15212725,0.22667131,0.21860014,0.20053747,0.20206392
2024-10-28,0.1621465,0.19564143,0.23524052,0.2189038,0.18806778
2024-10-29,0.1596435,0.17654914,0.20845707,0.23738998,0.21796036
2024-10-30,0.16847871,0.20193191,0.19652127,0.21864668,0.21442145
2024-10-31,0.14264444,0.2320349,0.26626518,0.1702787,0.18877684
2024-11-01,0.12801714,0.20128193,0.27258644,0.24556519,0.15254928
2024-11-04,0.115823865,0.17781961,0.27563944,0.22938578,0.20133132
2024-11-05,0.15584446,0.19228669,0.2075899,0.30262837,0.14165059
2024-11-06,0.14488725,0.18501924,0.25151184,0.21971038,0.19887127
2024-11-07,0.11387504,0.2110782,0.26633847,0.21448845,0.19421983
2024-11-08,0.118642874,0.21807526,0.2510911,0.21986467,0.19232616
2024-11-11,0.10887673,0.16122693,0.29500082,0.23874196,0.19615349
2024-11-12,0.1310229,0.18446907,0.26148227,0.25705233,0.16597351
2024-11-13,0.1552374,0.19666614,0.21778029,0.22340164,0.20691454
2024-11-14,0.13476959,0.19421525,0.23246285,0.20835371,0.23019864
2024-11-15,0.1467342,0.20485911,0.20221272,0.21880913,0.22738487
2024-11-18,0.1563371,0.18586968,0.23457667,0.22164153,0.20157515
2024-11-19,0.13901335,0.17711684,0.29580787,0.19293779,0.19512416
2024-11-20,0.17257518,0.24136817,0.18997483,0.20619935,0.18988246
2024-11-21,0.11648831,0.18525447,0.3068157,0.16464986,0.22679159
2024-11-22,0.10891311,0.21676293,0.26973155,0.22778659,0.17680576
2024-11-25,0.12895696,0.19443257,0.27847087,0.23565173,0.16248779
2024-11-26,0.12780343,0.14803468,0.26160684,0.3046139,0.1579412
2024-11-27,0.13430402,0.16335006,0.22020914,0.24165994,0.24047689
2024-11-29,0.1773636,0.21410665,0.164035,0.2334734,0.21102133
2024-12-02,0.16636929,0.2055593,0.21652703,0.21370903,0.19783537
2024-12-03,0.15474913,0.21725202,0.21745002,0.22393605,0.18661274
2024-12-04,0.13075072,0.18990979,0.27043265,0.22495851,0.18394838
2024-12-05,0.12729815,0.21758328,0.2705163,0.21979727,0.16480495
2024-12-06,0.10904001,0.19007869,0.30113533,0.22124937,0.17849654
2024-12-09,0.10088356,0.1886397,0.28136197,0.25307643,0.17603834
2024-12-10,0.108743235,0.17357889,0.2707169,0.271027,0.17593399
2024-12-11,0.12373292,0.17561013,0.23644966,0.29344207,0.17076525
2024-12-12,0.13557836,0.1605549,0.22956656,0.2645352,0.20976505
2024-12-13,0.14560229,0.19503118,0.2019421,0.20797917,0.24944521
2024-12-16,0.14728944,0.22810416,0.23237324,0.18419147,0.20804167
2024-12-17,0.1187688,0.18036926,0.2827025,0.21355402,0.20460533
2024-12-18,0.11854403,0.19003962,0.28835902,0.22129193,0.18176542
2024-12-19,0.13693392,0.1787402,0.25221726,0.25422,0.17788862
2024-12-20,0.12011444,0.16431344,0.2790146,0.22037588,0.21618162
