group,freqs,num_freqs,fusion,horizon,epochs_ran,elapsed_sec,train_samples,val_samples,test_samples,train_mse,train_mae,train_corr,train_rank_corr,train_direction_acc,train_pred_std,train_true_std,val_mse,val_mae,val_corr,val_rank_corr,val_direction_acc,val_pred_std,val_true_std,test_mse,test_mae,test_corr,test_rank_corr,test_direction_acc,test_pred_std,test_true_std,y_train_mean,y_train_std,test_mean_gate_patch_hourly_0,test_mean_gate_patch_hourly_1,test_mean_gate_patch_hourly_2,test_mean_gate_patch_hourly_3,test_mean_gate_patch_halfday_0,test_mean_gate_patch_halfday_1,test_mean_gate_patch_halfday_2,test_mean_gate_patch_halfday_3,test_mean_gate_patch_halfday_4,test_mean_gate_patch_daily_0,test_mean_gate_patch_daily_1,test_mean_gate_patch_daily_2,test_mean_gate_patch_daily_3,test_mean_gate_patch_weekly_0,test_mean_gate_patch_weekly_1,test_mean_gate_patch_weekly_2,test_mean_gate_patch_weekly_3,test_mean_gate_patch_weekly_4,test_mean_gate_patch_weekly_5
double_lowfreq,daily+weekly,2,concat,10d,49,3043.409967332962,2553,547,548,9.061050415039062,2.4762706756591797,0.020996374071358,0.0448100213672285,0.5186055620838229,1.8307815790176392,0.1072988510131836,4.788095951080322,2.0399889945983887,0.018116263099191,0.0125008626560367,0.4826325411334552,0.786699116230011,0.1028362661600112,5.994421005249023,2.24357008934021,0.095366645094744,0.1094312886018231,0.5255474452554745,0.9937731623649596,0.1023615449666976,0.0024258117191493,0.1072988510131836,,,,,,,,,,0.3170328140258789,0.2167922407388687,0.2136668711900711,0.2525080740451813,0.1954433619976043,0.1480700224637985,0.1821143478155136,0.1455824226140976,0.2423727810382843,0.0864170715212822
double_lowfreq,daily+weekly,2,concat,20d,29,1784.8733471250162,2553,547,548,337.71429443359375,15.718342781066896,0.0438874837171908,0.0360978597587951,0.5193889541715628,9.52641487121582,0.153127834200859,112.32036590576172,10.098821640014648,0.0243021529131128,0.0800893123615936,0.5301645338208409,3.2149980068206787,0.141805037856102,170.2489471435547,12.18830394744873,0.1985678046375106,0.2705677953987708,0.5291970802919708,4.6844048500061035,0.1454658061265945,0.00487852236256,0.153127834200859,,,,,,,,,,0.1665111482143402,0.2973563075065613,0.236719399690628,0.2994131445884704,0.1712308973073959,0.142538696527481,0.1567192673683166,0.1815798729658126,0.1670524924993515,0.1808788031339645
double_lowfreq,daily+weekly,2,concat,5d,39,2417.406165458029,2553,547,548,3985.31494140625,47.40974044799805,0.0246793995449558,0.0087544546631073,0.4970622796709753,46.72792053222656,0.0759601891040802,1789.1336669921875,33.75484085083008,0.0372696120740059,0.0324517071935563,0.5082266910420475,31.69344711303711,0.0752401202917099,1970.6767578125,34.36302185058594,0.0156917857762696,0.0079848188360711,0.5328467153284672,34.82769012451172,0.0779148414731025,0.0011742518981918,0.0759601891040802,,,,,,,,,,0.242066204547882,0.3649204671382904,0.2624845206737518,0.1305288076400756,0.1714750975370407,0.1147227734327316,0.1923108845949173,0.1790210455656051,0.1261903792619705,0.216279849410057
double_mixed,hourly+daily,2,concat,10d,52,2995.1572387909982,2553,547,548,31.831825256347656,4.054879188537598,-0.0096321977574278,0.0093526177291879,0.5068546807677242,5.602657318115234,0.1072988510131836,37.69889831542969,4.472061634063721,-0.1309670542273422,-0.1280509293364804,0.4789762340036563,6.086108684539795,0.1028362661600112,32.200828552246094,4.190191268920898,0.017110049249324,0.1005019328746157,0.5364963503649635,4.899646759033203,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.204698771238327,0.2725646495819092,0.2498119920492172,0.2729245722293854,,,,,,0.2384670227766037,0.2439413666725158,0.2851875424385071,0.2324040234088897,,,,,,
double_mixed,hourly+daily,2,concat,20d,37,2096.7015274580335,2553,547,548,847.797119140625,21.18048095703125,0.0087101559332297,-0.0145540599652505,0.4790442616529573,19.988454818725582,0.153127834200859,424.4406433105469,15.089499473571776,-0.1490469117037098,-0.2330660157831673,0.4515539305301645,14.11228847503662,0.141805037856102,422.8392639160156,14.35277271270752,0.0418409983616788,0.1392612100329982,0.5091240875912408,15.186956405639648,0.1454658061265945,0.00487852236256,0.153127834200859,0.2904712855815887,0.2378377765417099,0.2680293619632721,0.2036615908145904,,,,,,0.3414978682994842,0.2562797367572784,0.2213643938302993,0.1808580011129379,,,,,,
double_mixed,hourly+daily,2,concat,5d,23,1333.9129800000228,2553,547,548,3.5456185340881348,1.2356075048446655,0.0264392424812668,0.0459143460207195,0.518213866039953,1.4574922323226929,0.0759601891040802,1.1304938793182373,0.8031480312347412,0.1168511229686619,0.1455892171587073,0.5447897623400365,0.8957363963127136,0.0752401202917099,1.481012225151062,1.0691187381744385,0.0490523520409155,0.104429999286725,0.4963503649635036,0.968450665473938,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.242415651679039,0.2234874665737152,0.2255222797393798,0.3085745871067047,,,,,,0.1815099120140075,0.2413143217563629,0.2119451910257339,0.3652305901050567,,,,,,
double_short,hourly+halfday,2,concat,10d,19,438.621412999928,2553,547,548,18.2950382232666,3.0397863388061523,-0.0201954205428275,-0.0172270269363622,0.4806110458284371,3.005626678466797,0.1072988510131836,2.493100643157959,1.091172218322754,-0.1157826661602934,-0.1563169500865739,0.5100548446069469,1.2043242454528809,0.1028362661600112,7.13023567199707,1.7756783962249756,-0.0607880289853231,-0.0798866195637402,0.4872262773722627,2.053790330886841,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.0940462499856948,0.4827296137809753,0.1972408145666122,0.2259833067655563,0.1532804667949676,0.2053974270820617,0.2113302499055862,0.100178025662899,0.3298138380050659,,,,,,,,,,
double_short,hourly+halfday,2,concat,20d,17,383.7411641669459,2553,547,548,34.04032516479492,3.6060245037078857,0.0273091835225379,0.0467206680382284,0.5127301214257736,4.985994815826416,0.153127834200859,22.885330200195312,2.0634453296661377,-0.0160210629289195,0.0028608618424202,0.4972577696526508,4.729569435119629,0.141805037856102,17.480098724365234,2.514862537384033,0.0399675683657735,0.0855743030041229,0.5364963503649635,3.953198194503784,0.1454658061265945,0.00487852236256,0.153127834200859,0.2007321268320083,0.1484952270984649,0.3266823291778564,0.3240903615951538,0.2534052729606628,0.2058824896812439,0.1344984918832779,0.2587408721446991,0.1474728882312774,,,,,,,,,,
double_short,hourly+halfday,2,concat,5d,50,1115.4337430410087,2553,547,548,11.142583847045898,2.0825610160827637,0.0037819720656169,0.0090562538804054,0.5060712886799843,2.644463062286377,0.0759601891040802,1.4255424737930298,0.8087056875228882,0.0451568391211803,0.1111220744449147,0.5429616087751371,1.185664176940918,0.0752401202917099,3.894216775894165,1.3158612251281738,-0.0316386198873065,0.0400058736299991,0.4890510948905109,1.9677127599716189,0.0779148414731025,0.0011742518981918,0.0759601891040802,0.3426719605922699,0.2073489278554916,0.1638607382774353,0.2861183285713196,0.2056909650564193,0.2032883018255233,0.1651290506124496,0.234902799129486,0.1909888535737991,,,,,,,,,,
full_frequency,hourly+halfday+daily+weekly,4,concat,10d,28,2453.739223500015,2553,547,548,1330.83447265625,25.53998756408691,-0.0082024484262257,0.0022897200056931,0.5052878965922444,35.92597198486328,0.1072988510131836,418.3019409179687,16.112472534179688,0.0216760458595038,0.0736203920877697,0.4917733089579524,17.158323287963867,0.1028362661600112,560.5216674804688,17.8160400390625,-0.0800908780754942,-0.0527306836153878,0.5,23.38239288330078,0.1023615449666976,0.0024258117191493,0.1072988510131836,0.3173770308494568,0.2069809287786483,0.2190141081809997,0.2566279470920563,0.1942681670188903,0.1501048356294632,0.1401538401842117,0.3276265263557434,0.1878466606140136,0.0190161690115928,0.4370267689228058,0.4429120123386383,0.1010450422763824,0.1603483706712722,0.162165030837059,0.2143965661525726,0.1754320859909057,0.1315159946680069,0.1561419367790222
