[a5] 24 total runs (group x horizon), fusion=concat
[a5_single_halfday_concat_5d] epoch 011/060 val_loss=66.28344498 best_val_loss=66.28344498 bad_epochs=0/8 epoch_time=00:00:11 eta=00:09:00
[a5_single_halfday_concat_5d] epoch 012/060 val_loss=136.97100677 best_val_loss=66.28344498 bad_epochs=1/8 epoch_time=00:00:11 eta=00:08:49
[a5_single_halfday_concat_5d] epoch 013/060 val_loss=62.12911530 best_val_loss=62.12911530 bad_epochs=0/8 epoch_time=00:00:11 eta=00:08:38
[a5_single_halfday_concat_5d] epoch 014/060 val_loss=131.93258362 best_val_loss=62.12911530 bad_epochs=1/8 epoch_time=00:00:11 eta=00:08:26
[a5_single_halfday_concat_5d] epoch 015/060 val_loss=58.36777267 best_val_loss=58.36777267 bad_epochs=0/8 epoch_time=00:00:11 eta=00:08:16
[a5_single_halfday_concat_5d] epoch 016/060 val_loss=127.82458954 best_val_loss=58.36777267 bad_epochs=1/8 epoch_time=00:00:11 eta=00:08:05
[a5_single_halfday_concat_5d] epoch 017/060 val_loss=55.18476334 best_val_loss=55.18476334 bad_epochs=0/8 epoch_time=00:00:11 eta=00:07:54
[a5_single_halfday_concat_5d] epoch 018/060 val_loss=123.74743042 best_val_loss=55.18476334 bad_epochs=1/8 epoch_time=00:00:11 eta=00:07:43
[a5_single_halfday_concat_5d] epoch 019/060 val_loss=52.38181953 best_val_loss=52.38181953 bad_epochs=0/8 epoch_time=00:00:11 eta=00:07:32
[a5_single_halfday_concat_5d] epoch 020/060 val_loss=120.17419891 best_val_loss=52.38181953 bad_epochs=1/8 epoch_time=00:00:11 eta=00:07:20
[a5_single_halfday_concat_5d] epoch 021/060 val_loss=50.25440178 best_val_loss=50.25440178 bad_epochs=0/8 epoch_time=00:00:11 eta=00:07:09
[a5_single_halfday_concat_5d] epoch 022/060 val_loss=116.79294434 best_val_loss=50.25440178 bad_epochs=1/8 epoch_time=00:00:11 eta=00:06:58
[a5_single_halfday_concat_5d] epoch 023/060 val_loss=48.40847054 best_val_loss=48.40847054 bad_epochs=0/8 epoch_time=00:00:11 eta=00:06:47
[a5_single_halfday_concat_5d] epoch 024/060 val_loss=113.33880768 best_val_loss=48.40847054 bad_epochs=1/8 epoch_time=00:00:11 eta=00:06:36
[a5_single_halfday_concat_5d] epoch 025/060 val_loss=47.12530746 best_val_loss=47.12530746 bad_epochs=0/8 epoch_time=00:00:11 eta=00:06:25
[a5_single_halfday_concat_5d] epoch 026/060 val_loss=110.47550507 best_val_loss=47.12530746 bad_epochs=1/8 epoch_time=00:00:11 eta=00:06:14
[a5_single_halfday_concat_5d] epoch 027/060 val_loss=45.99006157 best_val_loss=45.99006157 bad_epochs=0/8 epoch_time=00:00:11 eta=00:06:03
[a5_single_halfday_concat_5d] epoch 028/060 val_loss=107.55226593 best_val_loss=45.99006157 bad_epochs=1/8 epoch_time=00:00:11 eta=00:05:52
[a5_single_halfday_concat_5d] epoch 029/060 val_loss=45.00780449 best_val_loss=45.00780449 bad_epochs=0/8 epoch_time=00:00:11 eta=00:05:41
[a5_single_halfday_concat_5d] epoch 030/060 val_loss=104.76588745 best_val_loss=45.00780449 bad_epochs=1/8 epoch_time=00:00:11 eta=00:05:30
[a5_single_halfday_concat_5d] epoch 031/060 val_loss=44.39946098 best_val_loss=44.39946098 bad_epochs=0/8 epoch_time=00:00:11 eta=00:05:18
[a5_single_halfday_concat_5d] epoch 032/060 val_loss=102.47279663 best_val_loss=44.39946098 bad_epochs=1/8 epoch_time=00:00:11 eta=00:05:08
[a5_single_halfday_concat_5d] epoch 033/060 val_loss=43.94261780 best_val_loss=43.94261780 bad_epochs=0/8 epoch_time=00:00:11 eta=00:04:57
[a5_single_halfday_concat_5d] epoch 034/060 val_loss=100.47815704 best_val_loss=43.94261780 bad_epochs=1/8 epoch_time=00:00:11 eta=00:04:46
[a5_single_halfday_concat_5d] epoch 035/060 val_loss=43.60798950 best_val_loss=43.60798950 bad_epochs=0/8 epoch_time=00:00:11 eta=00:04:35
[a5_single_halfday_concat_5d] epoch 036/060 val_loss=98.35393143 best_val_loss=43.60798950 bad_epochs=1/8 epoch_time=00:00:11 eta=00:04:24
[a5_single_halfday_concat_5d] epoch 037/060 val_loss=43.50240402 best_val_loss=43.50240402 bad_epochs=0/8 epoch_time=00:00:11 eta=00:04:13
[a5_single_halfday_concat_5d] epoch 038/060 val_loss=96.32271042 best_val_loss=43.50240402 bad_epochs=1/8 epoch_time=00:00:11 eta=00:04:02
[a5_single_halfday_concat_5d] epoch 039/060 val_loss=43.55517769 best_val_loss=43.50240402 bad_epochs=2/8 epoch_time=00:00:11 eta=00:03:51
[a5_single_halfday_concat_5d] epoch 040/060 val_loss=94.65896988 best_val_loss=43.50240402 bad_epochs=3/8 epoch_time=00:00:11 eta=00:03:40
[a5_single_halfday_concat_5d] epoch 041/060 val_loss=43.69333954 best_val_loss=43.50240402 bad_epochs=4/8 epoch_time=00:00:11 eta=00:03:29
[a5_single_halfday_concat_5d] epoch 042/060 val_loss=92.90283432 best_val_loss=43.50240402 bad_epochs=5/8 epoch_time=00:00:11 eta=00:03:18
[a5_single_halfday_concat_5d] epoch 043/060 val_loss=44.00083160 best_val_loss=43.50240402 bad_epochs=6/8 epoch_time=00:00:11 eta=00:03:07
[a5_single_halfday_concat_5d] epoch 044/060 val_loss=91.45232391 best_val_loss=43.50240402 bad_epochs=7/8 epoch_time=00:00:11 eta=00:02:56
[a5_single_halfday_concat_5d] epoch 045/060 val_loss=44.24412193 best_val_loss=43.50240402 bad_epochs=8/8 epoch_time=00:00:11 eta=00:02:45
[a5_single_halfday_concat_5d] early stopping at epoch 45
[a5] done group=single_halfday horizon=5d test_mse=31.637232 test_corr=-0.1172 (overall elapsed 00:13:43)
[a5] === run 3/24: group=single_daily freqs=['daily'] fusion=concat horizon=5d ===
[a5_single_daily_concat_5d] epoch 001/060 val_loss=103967.87578125 best_val_loss=103967.87578125 bad_epochs=0/8 epoch_time=00:00:46 eta=00:44:52
[a5_single_daily_concat_5d] epoch 002/060 val_loss=72174.23203125 best_val_loss=72174.23203125 bad_epochs=0/8 epoch_time=00:00:45 eta=00:43:48
[a5_single_daily_concat_5d] epoch 003/060 val_loss=48269.80312500 best_val_loss=48269.80312500 bad_epochs=0/8 epoch_time=00:00:45 eta=00:42:58
[a5_single_daily_concat_5d] epoch 004/060 val_loss=24485.75507812 best_val_loss=24485.75507812 bad_epochs=0/8 epoch_time=00:00:45 eta=00:42:06
[a5_single_daily_concat_5d] epoch 005/060 val_loss=2105.58317871 best_val_loss=2105.58317871 bad_epochs=0/8 epoch_time=00:00:44 eta=00:41:13
[a5_single_daily_concat_5d] epoch 006/060 val_loss=1535.12025146 best_val_loss=1535.12025146 bad_epochs=0/8 epoch_time=00:00:45 eta=00:40:24
[a5_single_daily_concat_5d] epoch 007/060 val_loss=86.42231064 best_val_loss=86.42231064 bad_epochs=0/8 epoch_time=00:00:45 eta=00:39:36
[a5_single_daily_concat_5d] epoch 008/060 val_loss=102.85949936 best_val_loss=86.42231064 bad_epochs=1/8 epoch_time=00:00:44 eta=00:38:48
[a5_single_daily_concat_5d] epoch 009/060 val_loss=90.76412659 best_val_loss=86.42231064 bad_epochs=2/8 epoch_time=00:00:44 eta=00:38:01
[a5_single_daily_concat_5d] epoch 010/060 val_loss=67.55148849 best_val_loss=67.55148849 bad_epochs=0/8 epoch_time=00:00:44 eta=00:37:14
[a5_single_daily_concat_5d] epoch 011/060 val_loss=151.22374420 best_val_loss=67.55148849 bad_epochs=1/8 epoch_time=00:00:44 eta=00:36:28
[a5_single_daily_concat_5d] epoch 012/060 val_loss=168.24543915 best_val_loss=67.55148849 bad_epochs=2/8 epoch_time=00:00:44 eta=00:35:43
[a5_single_daily_concat_5d] epoch 013/060 val_loss=193.88185272 best_val_loss=67.55148849 bad_epochs=3/8 epoch_time=00:00:45 eta=00:34:58
[a5_single_daily_concat_5d] epoch 014/060 val_loss=207.82986450 best_val_loss=67.55148849 bad_epochs=4/8 epoch_time=00:00:45 eta=00:34:13
[a5_single_daily_concat_5d] epoch 015/060 val_loss=306.40090637 best_val_loss=67.55148849 bad_epochs=5/8 epoch_time=00:00:44 eta=00:33:28
[a5_single_daily_concat_5d] epoch 016/060 val_loss=49.52627678 best_val_loss=49.52627678 bad_epochs=0/8 epoch_time=00:00:45 eta=00:32:44
[a5_single_daily_concat_5d] epoch 017/060 val_loss=85.35580597 best_val_loss=49.52627678 bad_epochs=1/8 epoch_time=00:00:45 eta=00:31:59
[a5_single_daily_concat_5d] epoch 018/060 val_loss=72.51688614 best_val_loss=49.52627678 bad_epochs=2/8 epoch_time=00:00:45 eta=00:31:14
[a5_single_daily_concat_5d] epoch 019/060 val_loss=34.53692589 best_val_loss=34.53692589 bad_epochs=0/8 epoch_time=00:00:44 eta=00:30:29
[a5_single_daily_concat_5d] epoch 020/060 val_loss=135.36672668 best_val_loss=34.53692589 bad_epochs=1/8 epoch_time=00:00:44 eta=00:29:44
[a5_single_daily_concat_5d] epoch 021/060 val_loss=160.87173691 best_val_loss=34.53692589 bad_epochs=2/8 epoch_time=00:00:44 eta=00:28:59
[a5_single_daily_concat_5d] epoch 022/060 val_loss=186.61342926 best_val_loss=34.53692589 bad_epochs=3/8 epoch_time=00:00:44 eta=00:28:14
[a5_single_daily_concat_5d] epoch 023/060 val_loss=194.55826416 best_val_loss=34.53692589 bad_epochs=4/8 epoch_time=00:00:44 eta=00:27:29
[a5_single_daily_concat_5d] epoch 024/060 val_loss=291.11497345 best_val_loss=34.53692589 bad_epochs=5/8 epoch_time=00:00:45 eta=00:26:45
