freq,patch_size,horizon,epochs_ran,elapsed_sec,train_samples,val_samples,test_samples,train_mse,train_mae,train_corr,train_rank_corr,train_direction_acc,train_pred_std,train_true_std,val_mse,val_mae,val_corr,val_rank_corr,val_direction_acc,val_pred_std,val_true_std,test_mse,test_mae,test_corr,test_rank_corr,test_direction_acc,test_pred_std,test_true_std,y_train_mean,y_train_std,test_mean_gate_patch_0
daily,5,10d,13,188.5376897919923,2553,547,548,109.61715698242188,7.720769882202148,-0.0007546137258446,0.0028736950976161,0.5045045045045045,10.424918174743652,0.1072988510131836,182.0687561035156,9.60057258605957,0.1195717424715992,0.0803620703345732,0.4990859232175503,12.858317375183104,0.1028362661600112,56.22550201416016,5.795690059661865,-0.0038786938615362,-0.0322536288030408,0.4726277372262774,7.492280006408691,0.1023615449666976,0.0024258117191493,0.1072988510131836,1.0
daily,5,20d,57,795.3320273329737,2553,547,548,0.8109334111213684,0.6568198800086975,-0.046500611912668,-0.061109887487553,0.4896200548374461,0.8802269697189331,0.153127834200859,2.3144443035125732,1.0652744770050049,-0.2232456985863631,-0.1710798303058874,0.4862888482632541,1.372605323791504,0.141805037856102,0.524023711681366,0.5728780031204224,-0.1385025835903058,-0.1577936901803885,0.4708029197080292,0.6588439345359802,0.1454658061265945,0.00487852236256,0.153127834200859,1.0
daily,5,5d,41,591.4433365840232,2553,547,548,0.5000126361846924,0.5436341166496277,0.006269118076658,-0.0059239638264997,0.4962788875832354,0.6991915106773376,0.0759601891040802,0.9686362147331238,0.7707545161247253,-0.0943103104352228,-0.0696393621162485,0.4936014625228519,0.9629971385002136,0.0752401202917099,0.2940879464149475,0.4510436058044433,0.010915945767795,0.0228813101106043,0.4835766423357664,0.46084064245224,0.0779148414731025,0.0011742518981918,0.0759601891040802,1.0
daily,10,10d,60,771.2259146659635,2553,547,548,0.5331528186798096,0.5848516225814819,-0.0056775987657205,-0.0306451236215826,0.509596553074814,0.6785309910774231,0.1072988510131836,1.0897002220153809,0.860304057598114,-0.1142108978651544,-0.1500520753330848,0.4387568555758683,0.8584648966789246,0.1028362661600112,2.274451971054077,1.2391659021377563,-0.0437952787593073,-0.1341213039926,0.5401459854014599,1.1262832880020142,0.1023615449666976,0.0024258117191493,0.1072988510131836,1.0
daily,10,20d,60,763.7466051660012,2553,547,548,40.34152603149414,4.882225513458252,0.0321418761962286,0.0291780111212965,0.5115550332941637,6.332711219787598,0.153127834200859,65.16466522216797,6.3180251121521,0.1700047605036104,0.1184452409001534,0.546617915904936,8.031425476074219,0.141805037856102,25.670799255371097,4.195240497589111,0.0584405742102022,0.0603152163203057,0.4835766423357664,4.288337230682373,0.1454658061265945,0.00487852236256,0.153127834200859,1.0
daily,10,5d,53,689.1824076669873,2553,547,548,1.318814754486084,0.9480968117713928,-0.0093810356541848,-0.0289012269848406,0.5056795926361144,1.1435856819152832,0.0759601891040802,1.6141202449798584,0.9883756637573242,-0.0333680310612857,-0.0649900830501593,0.4515539305301645,1.2058008909225464,0.0752401202917099,3.5279886722564697,1.4925734996795654,-0.0363527906194815,-0.0813316915607769,0.5109489051094891,1.5498665571212769,0.0779148414731025,0.0011742518981918,0.0759601891040802,1.0
daily,20,10d,28,261.2979159580427,2553,547,548,0.1603384912014007,0.2742998898029327,0.0146609156357328,-0.0276948690901593,0.4868781825303564,0.3671441972255707,0.1072988510131836,0.6221895813941956,0.5791112184524536,-0.1652792888529554,-0.1819704801992324,0.4625228519195612,0.7532581686973572,0.1028362661600112,0.8291358947753906,0.6826049089431763,-0.0014579834515046,-0.1130854008577011,0.437956204379562,0.8345456719398499,0.1023615449666976,0.0024258117191493,0.1072988510131836,1.0
daily,20,20d,60,551.2701915000216,2553,547,548,735.325439453125,21.269548416137695,0.0373292714801402,0.0383545538004983,0.5099882491186839,26.837074279785156,0.153127834200859,1239.211669921875,27.916730880737305,0.1871195168779977,0.1272184160333188,0.5630712979890311,35.052162170410156,0.141805037856102,536.8099975585938,19.46390914916992,0.0487130793772926,0.0669505575627943,0.4762773722627737,18.774824142456055,0.1454658061265945,0.00487852236256,0.153127834200859,1.0
daily,20,5d,26,246.79790216695983,2553,547,548,0.0620778352022171,0.1788215190172195,-0.0041077171387438,0.0439585590099643,0.5021543282412848,0.2368343919515609,0.0759601891040802,0.2853142321109772,0.421057790517807,0.1143223512328412,0.1365627311520018,0.5411334552102377,0.5234366655349731,0.0752401202917099,0.3022486269474029,0.405163824558258,0.0120333755726767,0.0611160721406772,0.531021897810219,0.5438130497932434,0.0779148414731025,0.0011742518981918,0.0759601891040802,1.0
daily,30,10d,60,640.564074874972,2553,547,548,221.7390594482422,11.590998649597168,0.0353269571180778,0.0260164008251382,0.5045045045045045,14.62962245941162,0.1072988510131836,447.8887023925781,16.490575790405273,0.1463172122297136,0.0987077969225114,0.5009140767824497,20.87486267089844,0.1028362661600112,189.60324096679688,11.609335899353027,-0.0228900465072191,-0.0210693780159436,0.4397810218978102,11.886560440063477,0.1023615449666976,0.0024258117191493,0.1072988510131836,1.0
