anchor_date,gate_patch_5,gate_patch_10,gate_patch_20,gate_patch_30
2024-03-01,0.27613455,0.13490903,0.3410652,0.24789117
2024-03-04,0.29708478,0.09837534,0.32332546,0.28121442
2024-03-05,0.2597968,0.13819504,0.31741813,0.28459007
2024-03-06,0.20715505,0.16707446,0.38070256,0.24506791
2024-03-07,0.18797027,0.1828495,0.2834789,0.3457014
2024-03-08,0.09285208,0.16948149,0.32503608,0.41263035
2024-03-11,0.10551793,0.300876,0.19905087,0.39455515
2024-03-12,0.10755567,0.2604449,0.23437124,0.39762822
2024-03-13,0.095139004,0.3050989,0.18745469,0.4123074
2024-03-14,0.13913092,0.22804298,0.21208607,0.42074004
2024-03-15,0.16081366,0.2989653,0.18328041,0.35694063
2024-03-18,0.19227818,0.21072525,0.18658659,0.41040996
2024-03-19,0.21695761,0.22788778,0.14629743,0.4088571
2024-03-20,0.18992768,0.14448136,0.13551162,0.5300793
2024-03-21,0.23685127,0.18797402,0.21463698,0.36053768
2024-03-22,0.20556958,0.16101907,0.28472456,0.3486868
2024-03-25,0.17671062,0.09258,0.29319873,0.4375106
2024-03-26,0.15320177,0.12715515,0.4042193,0.31542376
2024-03-27,0.13278294,0.07660319,0.39714605,0.39346787
2024-03-28,0.18207997,0.08980277,0.39495656,0.3331607
2024-04-01,0.31883812,0.09958868,0.36966538,0.21190791
2024-04-02,0.2668388,0.10109881,0.37019506,0.2618674
2024-04-03,0.29815745,0.1726215,0.3594306,0.16979048
2024-04-04,0.312663,0.21886168,0.29340026,0.17507511
2024-04-05,0.3169405,0.22181271,0.31348577,0.1477611
2024-04-08,0.23945062,0.31339306,0.24461535,0.20254095
2024-04-09,0.23421194,0.37264603,0.24913718,0.14400487
2024-04-10,0.25211588,0.33877718,0.22255458,0.18655235
2024-04-11,0.33208716,0.28294387,0.17119937,0.21376961
2024-04-12,0.24389085,0.2801344,0.22364101,0.2523337
2024-04-15,0.29957393,0.1792363,0.22167931,0.29951042
2024-04-16,0.41962224,0.20631196,0.20105384,0.1730119
2024-04-17,0.34214565,0.18913402,0.188596,0.28012434
2024-04-18,0.3803988,0.1772946,0.20028597,0.24202059
2024-04-19,0.36858267,0.2801221,0.1229791,0.22831617
2024-04-22,0.38652405,0.20493178,0.13377792,0.2747663
2024-04-23,0.3336814,0.22702074,0.08463339,0.35466442
2024-04-24,0.31409287,0.22715622,0.07737827,0.3813727
2024-04-25,0.19000614,0.20686762,0.07632533,0.526801
2024-04-26,0.21543281,0.21537869,0.06876612,0.5004224
2024-04-29,0.19752389,0.23446575,0.09677082,0.4712395
2024-04-30,0.19746383,0.3131149,0.12712856,0.36229268
2024-05-01,0.25138235,0.30588868,0.15353401,0.2891949
2024-05-02,0.25751522,0.23578666,0.21355176,0.29314637
2024-05-03,0.25175348,0.22144085,0.26129755,0.26550812
2024-05-06,0.33700234,0.22921295,0.17938,0.25440475
2024-05-07,0.30442476,0.19045034,0.20210601,0.30301896
2024-05-08,0.3602626,0.11327724,0.28797904,0.23848106
2024-05-09,0.4006292,0.1070439,0.19585048,0.2964764
2024-05-10,0.27127874,0.07959322,0.21296957,0.43615848
