anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_12
2024-03-01,0.25120705,0.23181869,0.33964115,0.17733316
2024-03-04,0.25013688,0.23159733,0.34338966,0.1748762
2024-03-05,0.24774186,0.23593526,0.34830472,0.16801815
2024-03-06,0.25599706,0.2210347,0.3452348,0.17773342
2024-03-07,0.24420784,0.23792951,0.34907573,0.1687869
2024-03-08,0.2530456,0.2242254,0.346623,0.17610602
2024-03-11,0.24613194,0.2371113,0.34192696,0.17482981
2024-03-12,0.24491891,0.23064755,0.35263273,0.17180078
2024-03-13,0.24825963,0.23683788,0.3497591,0.1651434
2024-03-14,0.2512181,0.22889921,0.34701657,0.17286605
2024-03-15,0.24630955,0.23410025,0.35536993,0.1642202
2024-03-18,0.24803062,0.22916912,0.34854114,0.1742591
2024-03-19,0.24799418,0.23005024,0.34379557,0.17815992
2024-03-20,0.24159698,0.24217595,0.35244873,0.16377832
2024-03-21,0.25059867,0.22439307,0.341504,0.18350427
2024-03-22,0.25493696,0.22937867,0.33931607,0.17636827
2024-03-25,0.25153548,0.23313074,0.34497204,0.1703617
2024-03-26,0.25181127,0.227194,0.34875512,0.17223963
2024-03-27,0.24471967,0.24185354,0.3483148,0.16511202
2024-03-28,0.25127646,0.2268607,0.3427787,0.17908409
2024-04-01,0.25155798,0.23227145,0.34228757,0.17388295
2024-04-02,0.25009042,0.23284836,0.34425324,0.17280796
2024-04-03,0.25244525,0.2369343,0.3447562,0.16586429
2024-04-04,0.24704544,0.23537648,0.34134465,0.17623338
2024-04-05,0.25083715,0.22616276,0.34347007,0.17952998
2024-04-08,0.24710049,0.23386501,0.343851,0.17518356
2024-04-09,0.2516432,0.22739299,0.3464674,0.17449643
2024-04-10,0.2499277,0.23211817,0.34076196,0.17719215
2024-04-11,0.24886987,0.23387635,0.34874362,0.16851011
2024-04-12,0.25623763,0.23501618,0.3425914,0.16615479
2024-04-15,0.25259283,0.23220961,0.3484939,0.1667036
2024-04-16,0.2493103,0.23197387,0.34683865,0.17187716
2024-04-17,0.24914528,0.23130284,0.34756848,0.17198338
2024-04-18,0.25211796,0.22556713,0.3411122,0.18120264
2024-04-19,0.24715231,0.24091707,0.34643227,0.16549829
2024-04-22,0.24885572,0.22693425,0.3509953,0.17321476
2024-04-23,0.25249067,0.2319764,0.33565128,0.17988166
2024-04-24,0.25156936,0.22959243,0.3436177,0.1752205
2024-04-25,0.24121277,0.23784077,0.35511115,0.16583535
2024-04-26,0.24947289,0.23347025,0.34814778,0.16890916
2024-04-29,0.2511218,0.22814023,0.34059274,0.18014517
2024-04-30,0.24935696,0.23246205,0.3416098,0.17657119
2024-05-01,0.25067112,0.2366137,0.34861976,0.16409539
2024-05-02,0.24818459,0.23000109,0.3468441,0.17497021
2024-05-03,0.24961193,0.23668022,0.3383633,0.17534451
2024-05-06,0.2529283,0.22750928,0.3400697,0.17949267
2024-05-07,0.24842428,0.23471881,0.34109378,0.17576313
2024-05-08,0.24919686,0.23104939,0.3498434,0.16991037
2024-05-09,0.25076792,0.23176,0.35386154,0.16361055
2024-05-10,0.24845555,0.23269273,0.34140542,0.17744626
2024-05-13,0.25335935,0.230413,0.344045,0.17218265
2024-05-14,0.24368474,0.23842312,0.34982762,0.16806455
2024-05-15,0.24638095,0.23441714,0.348766,0.17043594
2024-05-16,0.25521934,0.22242218,0.33662474,0.18573365
2024-05-17,0.24907055,0.23376322,0.33882108,0.17834519
2024-05-20,0.2504531,0.22907707,0.34567702,0.1747927
2024-05-21,0.24907841,0.23702185,0.34674484,0.16715492
2024-05-22,0.25033864,0.22817974,0.3430074,0.17847426
2024-05-23,0.24993743,0.23038042,0.3429504,0.17673178
2024-05-24,0.2508868,0.23135236,0.3439853,0.17377555
