anchor_date,gate_patch_5,gate_patch_10,gate_patch_20,gate_patch_30
2024-03-01,0.23679423,0.12736338,0.35131687,0.28452548
2024-03-04,0.2563554,0.13851817,0.30916828,0.29595813
2024-03-05,0.3881064,0.14398576,0.20818907,0.25971872
2024-03-06,0.3980905,0.14741449,0.19772093,0.25677404
2024-03-07,0.5224137,0.10767517,0.15193632,0.21797483
2024-03-08,0.58320075,0.08341648,0.11503235,0.21835035
2024-03-11,0.6914132,0.06763564,0.12151024,0.11944094
2024-03-12,0.6653303,0.06269754,0.14702305,0.12494913
2024-03-13,0.67376494,0.045797117,0.12994602,0.15049192
2024-03-14,0.7058459,0.027154017,0.12847304,0.138527
2024-03-15,0.73458725,0.022502273,0.11396241,0.12894809
2024-03-18,0.72814,0.015273083,0.11907235,0.13751452
2024-03-19,0.68915,0.010277646,0.1549798,0.14559259
2024-03-20,0.6436294,0.012218111,0.2072956,0.13685696
2024-03-21,0.6081447,0.015618201,0.26169878,0.11453831
2024-03-22,0.6172822,0.01538714,0.28388327,0.0834474
2024-03-25,0.54027486,0.021312611,0.33610564,0.10230688
2024-03-26,0.5208194,0.03708138,0.330199,0.11190025
2024-03-27,0.4831618,0.044534285,0.3343727,0.13793118
2024-03-28,0.44355857,0.05778906,0.34944442,0.14920798
2024-04-01,0.39541632,0.103722915,0.3230888,0.17777188
2024-04-02,0.35359254,0.16824478,0.29112142,0.18704124
2024-04-03,0.3649427,0.19893794,0.2532402,0.18287921
2024-04-04,0.3362224,0.23927055,0.25990763,0.16459945
2024-04-05,0.39711037,0.21979278,0.24554895,0.13754788
2024-04-08,0.3900607,0.1910151,0.29625118,0.122673
2024-04-09,0.39217213,0.28312683,0.21648848,0.10821257
2024-04-10,0.35082713,0.35992697,0.19719438,0.09205156
2024-04-11,0.373938,0.28585723,0.23897177,0.10123298
2024-04-12,0.3435563,0.2659192,0.23597851,0.15454601
2024-04-15,0.30856115,0.2437801,0.24157372,0.20608501
2024-04-16,0.31559017,0.21793726,0.18862556,0.27784705
2024-04-17,0.31528696,0.19077702,0.19815655,0.29577947
2024-04-18,0.31616682,0.18039963,0.16309811,0.34033537
2024-04-19,0.26276416,0.186404,0.14746284,0.40336892
2024-04-22,0.21805075,0.17568246,0.18056566,0.4257012
2024-04-23,0.18654098,0.17098849,0.16721372,0.47525683
2024-04-24,0.22746956,0.18596455,0.152821,0.4337448
2024-04-25,0.27712953,0.16605803,0.11140518,0.44540736
2024-04-26,0.2850855,0.1387782,0.08008266,0.4960536
2024-04-29,0.31683478,0.13640629,0.06406912,0.48268986
2024-04-30,0.3641424,0.15075824,0.059119117,0.42598027
2024-05-01,0.38142514,0.1497418,0.051198043,0.41763508
2024-05-02,0.4807304,0.12715308,0.038820717,0.35329577
2024-05-03,0.5503345,0.09620106,0.032106973,0.32135743
2024-05-06,0.6394658,0.06824547,0.029239528,0.26304922
2024-05-07,0.6744432,0.048263066,0.033403076,0.24389058
2024-05-08,0.6790393,0.04146082,0.037992243,0.24150759
2024-05-09,0.6623117,0.040495623,0.055671442,0.24152127
2024-05-10,0.6923317,0.041100096,0.07283113,0.19373718
2024-05-13,0.6858796,0.036847048,0.0810779,0.19619548
2024-05-14,0.70531064,0.032426085,0.09448089,0.1677824
2024-05-15,0.7044496,0.033690803,0.09999062,0.16186896
2024-05-16,0.72784585,0.03491532,0.10998858,0.12725034
2024-05-17,0.7214337,0.026658144,0.120610125,0.13129804
2024-05-20,0.69248456,0.028235547,0.12980652,0.14947344
2024-05-21,0.66598505,0.029477444,0.14773878,0.15679863
2024-05-22,0.59372944,0.03495715,0.18985955,0.18145388
2024-05-23,0.63108647,0.040904123,0.16946383,0.15854551
2024-05-24,0.5750392,0.06167258,0.15667586,0.20661238
2024-05-28,0.58694947,0.07098385,0.14011888,0.2019478
2024-05-29,0.59192914,0.07782654,0.1323786,0.1978657
2024-05-30,0.6360941,0.07712119,0.11784023,0.1689444
2024-05-31,0.65861285,0.06485646,0.115271725,0.16125901
2024-06-03,0.65363103,0.060603954,0.13678262,0.14898238
2024-06-04,0.6491687,0.059023023,0.13703695,0.15477133
2024-06-05,0.60762054,0.057058595,0.18660936,0.14871156
2024-06-06,0.5945245,0.05071993,0.1932192,0.16153632
2024-06-07,0.55434406,0.051699996,0.21784265,0.17611335
2024-06-10,0.5337013,0.047878467,0.23258162,0.18583861
2024-06-11,0.5159527,0.048323285,0.22283158,0.2128924
2024-06-12,0.5400905,0.0446413,0.21427433,0.20099394
2024-06-13,0.5550094,0.04603238,0.18425214,0.2147061
2024-06-14,0.5551983,0.04226735,0.1790844,0.22344993
2024-06-17,0.57054424,0.040187348,0.1725792,0.21668918
2024-06-18,0.56366235,0.0335938,0.17899835,0.22374547
2024-06-20,0.6051056,0.028320821,0.16994737,0.1966262
2024-06-21,0.6217686,0.024170926,0.16387694,0.19018362
2024-06-24,0.6248393,0.024403382,0.15028448,0.20047274
2024-06-25,0.65844905,0.01911272,0.1367411,0.18569712
2024-06-26,0.6537042,0.019075835,0.13539122,0.19182873
2024-06-27,0.67734,0.015793135,0.115335844,0.19153099
2024-06-28,0.6958139,0.012437675,0.11297393,0.17877445
2024-07-01,0.7386705,0.009742271,0.103719085,0.14786813
2024-07-02,0.7149074,0.010746804,0.12087007,0.15347564
2024-07-03,0.7192975,0.009469136,0.13268813,0.13854519
2024-07-05,0.7159138,0.009424438,0.1465549,0.1281068
2024-07-08,0.676272,0.011353054,0.18254139,0.12983362
2024-07-09,0.6185856,0.013963232,0.19710928,0.1703419
2024-07-10,0.58873004,0.01583811,0.2102091,0.1852228
2024-07-11,0.53742135,0.01835287,0.22747225,0.21675342
2024-07-12,0.5179355,0.020408949,0.24946971,0.21218584
2024-07-15,0.5074917,0.020221129,0.24689461,0.22539258
2024-07-16,0.48223555,0.027340645,0.24550995,0.24491389
2024-07-17,0.47162154,0.032975696,0.2769885,0.21841419
2024-07-18,0.48478913,0.03543248,0.27093735,0.20884101
2024-07-19,0.48309943,0.03451699,0.28085548,0.20152816
2024-07-22,0.4789837,0.038449075,0.2915563,0.19101103
2024-07-23,0.45833609,0.039125014,0.28079712,0.22174177
2024-07-24,0.42604527,0.04063912,0.31519473,0.21812087
2024-07-25,0.38227767,0.046146736,0.3268951,0.2446805
2024-07-26,0.36228576,0.049935523,0.29067346,0.29710528
2024-07-29,0.36138356,0.054003038,0.28431812,0.3002953
2024-07-30,0.31219873,0.054242197,0.24813366,0.3854254
2024-07-31,0.3402444,0.054116372,0.23198621,0.37365305
2024-08-01,0.33971795,0.055094697,0.24893416,0.35625324
2024-08-02,0.38488293,0.05248218,0.22389527,0.3387397
2024-08-05,0.38647074,0.056192294,0.22792524,0.32941175
2024-08-06,0.3857184,0.053902857,0.24561127,0.31476742
2024-08-07,0.38327062,0.04542944,0.2584583,0.31284165
2024-08-08,0.43750396,0.04512983,0.22300148,0.29436478
2024-08-09,0.45984396,0.042892437,0.19559765,0.3016659
2024-08-12,0.46890414,0.048630875,0.18777935,0.2946856
2024-08-13,0.50269675,0.039882887,0.15100865,0.30641168
2024-08-14,0.5978303,0.04213484,0.1187328,0.241302
2024-08-15,0.6595222,0.030650372,0.101598874,0.20822866
2024-08-16,0.69465894,0.02523041,0.08747771,0.19263296
2024-08-19,0.767059,0.014863248,0.08052513,0.13755265
2024-08-20,0.7593534,0.010671602,0.099272296,0.13070275
2024-08-21,0.7645311,0.007779987,0.12873162,0.098957345
2024-08-22,0.7276796,0.007182871,0.17344074,0.09169681
2024-08-23,0.67200315,0.0076852096,0.24000604,0.08030558
2024-08-26,0.6308826,0.009991436,0.28025246,0.07887341
2024-08-27,0.663773,0.010415959,0.25754413,0.068266906
2024-08-28,0.6749027,0.009858627,0.25350803,0.061730705
2024-08-29,0.63725114,0.013255051,0.28699392,0.062499944
2024-08-30,0.62405473,0.014895584,0.29876673,0.062282976
2024-09-03,0.57018703,0.015308991,0.35342842,0.061075516
2024-09-04,0.48479676,0.015966985,0.44123423,0.058002006
2024-09-05,0.38379484,0.022024557,0.5318909,0.06228967
2024-09-06,0.32449195,0.023500135,0.59379894,0.05820903
2024-09-09,0.27655724,0.02499348,0.63764197,0.0608073
2024-09-10,0.25586003,0.031607457,0.6510288,0.06150367
2024-09-11,0.20720764,0.035116334,0.69609916,0.061576936
2024-09-12,0.23579195,0.039770134,0.6557126,0.068725295
2024-09-13,0.2466182,0.06370551,0.6007658,0.088910505
2024-09-16,0.23949756,0.07652277,0.58807653,0.09590316
2024-09-17,0.24942265,0.08826325,0.5205285,0.14178555
2024-09-18,0.2423019,0.095640644,0.50918984,0.15286763
2024-09-19,0.2624822,0.13861519,0.39727712,0.2016255
2024-09-20,0.23792692,0.19346924,0.34036732,0.22823651
2024-09-23,0.21814807,0.2728246,0.23566796,0.27335936
2024-09-24,0.19056407,0.3766635,0.16051134,0.2722611
2024-09-25,0.17529291,0.37745866,0.119790025,0.32745847
2024-09-26,0.15038894,0.41568276,0.08831892,0.34560937
2024-09-27,0.13411777,0.43560097,0.08016569,0.35011557
2024-09-30,0.11697025,0.48852032,0.0664711,0.3280384
2024-10-01,0.124028906,0.5085741,0.04714101,0.32025596
2024-10-02,0.11721665,0.53181094,0.047902208,0.3030702
2024-10-03,0.109159194,0.51928914,0.045538116,0.3260136
2024-10-04,0.12640984,0.47435308,0.04926815,0.34996888
2024-10-07,0.14888093,0.39716017,0.051974077,0.40198475
2024-10-08,0.15190151,0.40591592,0.050942197,0.3912403
2024-10-09,0.14616768,0.38937578,0.048896767,0.4155598
2024-10-10,0.11746957,0.35805666,0.036092732,0.488381
2024-10-11,0.11491051,0.3042489,0.034295484,0.546545
2024-10-14,0.10013252,0.308906,0.040192172,0.5507693
2024-10-15,0.10236666,0.32082635,0.03489206,0.541915
2024-10-16,0.122953564,0.32411164,0.029374054,0.52356076
2024-10-17,0.20904064,0.27933103,0.025145536,0.48648277
2024-10-18,0.24953277,0.2741162,0.024190456,0.45216054
2024-10-21,0.31168407,0.21309435,0.03127445,0.44394717
2024-10-22,0.3573926,0.14927664,0.031950787,0.4613799
2024-10-23,0.39624754,0.16100018,0.034859266,0.40789297
2024-10-24,0.41061297,0.1521193,0.055699978,0.3815677
2024-10-25,0.34207433,0.16184519,0.07003491,0.42604554
